FBMS,-17605
PD,-49652
CLW,-12622
INTA,-15635
GWRS,-6688
YEXT,-57687
MGRC,-7250
PRLB,-12422
IBM,36854
SANM,-238
AMNB,-3375
CAL,-9680
DRH,-11504
HL,-5959
CCSI,-4362
RMBS,-10051
AHH,-15444
CTBI,-3483
AVD,-2193
LAUR,-2496
FORR,-3599
APLE,-54446
LASR,-20136
